Date,hfck,sbic,scbk,cic,imh,bkg,ncba,eqty,kcb,ctum,coop,brit,absa,Share_Price
2013-10-31,26.75,78.0,303.0,4.6,103.0,,59.5,35.5,48.5,30.75,17.85,10.35,18.65,26.75
2013-11-01,26.75,80.5,303.0,4.65,103.0,,59.5,35.75,48.5,32.75,18.05,10.65,18.65,26.75
2013-11-04,26.75,81.0,303.0,4.65,104.0,,59.0,34.75,48.75,33.75,18.2,10.8,18.65,26.75
2013-11-05,27.25,80.5,304.0,4.6,105.0,,59.0,34.75,48.75,33.5,18.2,10.8,18.6,27.25
2013-11-06,27.75,82.0,304.0,4.65,107.0,,59.0,34.75,48.25,32.75,18.35,10.55,18.5,27.75
2013-11-07,27.5,82.0,305.0,4.55,114.0,,59.0,34.25,47.5,32.0,18.4,10.2,18.55,27.5
2013-11-08,27.5,82.0,305.0,4.6,112.0,,59.0,34.25,46.25,30.25,18.35,10.3,18.6,27.5
2013-11-11,27.25,81.0,305.0,4.55,110.0,,59.0,34.25,46.5,30.5,18.0,10.25,18.5,27.25
2013-11-12,27.25,81.5,307.0,4.75,110.0,,59.0,34.5,46.5,31.25,17.65,10.35,18.5,27.25
2013-11-13,27.5,82.0,307.0,4.75,111.0,,59.0,34.75,46.5,31.75,17.65,10.3,18.5,27.5
2013-11-14,28.0,82.0,307.0,4.7,111.0,,59.0,35.0,46.5,31.5,17.85,10.9,18.6,28.0
2013-11-15,28.25,82.0,307.0,4.7,112.0,,59.5,35.25,46.0,31.25,17.9,11.0,18.55,28.25
2013-11-18,29.0,82.5,307.0,4.7,111.0,,59.5,36.0,46.5,31.25,17.95,11.0,18.55,29.0
2013-11-19,28.75,82.5,307.0,4.75,111.0,,59.5,35.5,47.0,31.25,17.95,11.25,18.5,28.75
2013-11-20,29.0,83.0,306.0,5.05,115.0,,59.5,35.5,47.5,31.0,18.0,12.1,18.5,29.0
2013-11-21,29.25,84.0,309.0,5.5,115.0,,59.5,35.25,48.75,31.0,18.25,12.85,18.55,29.25
2013-11-22,29.5,83.0,310.0,5.35,116.0,,60.0,35.0,48.75,31.0,18.5,13.2,18.5,29.5
2013-11-25,29.75,83.5,312.0,5.4,116.0,,60.0,35.0,49.0,30.0,18.5,14.75,18.5,29.75
2013-11-26,29.75,85.0,317.0,5.75,117.0,,60.0,35.0,48.75,30.5,18.5,15.45,18.5,29.75
2013-11-27,30.0,85.0,319.0,5.95,117.0,,60.0,35.25,48.5,31.25,18.6,16.35,18.45,30.0
2013-11-28,31.0,89.0,325.0,5.95,119.0,,61.5,35.5,48.5,31.75,18.65,15.75,17.75,31.0
2013-11-29,31.25,87.0,316.0,5.7,118.0,,62.0,35.5,48.0,31.5,18.4,14.25,17.5,31.25
2013-12-02,31.5,85.0,310.0,5.55,120.0,,61.5,35.0,46.75,31.5,18.3,14.25,17.6,31.5
2013-12-03,32.5,85.0,308.0,5.65,121.0,,61.5,35.0,46.5,32.0,18.0,15.45,17.55,32.5
2013-12-04,32.75,85.5,307.0,5.65,123.0,,62.0,34.25,46.0,34.5,18.0,15.0,17.55,32.75
2013-12-05,31.75,85.5,307.0,5.65,122.0,,62.0,34.0,45.5,34.75,18.1,15.25,17.75,31.75
2013-12-06,31.5,84.0,303.0,5.6,122.0,,62.0,33.5,45.0,34.0,18.1,15.0,17.6,31.5
2013-12-09,31.75,83.0,302.0,5.5,122.0,,61.5,33.5,44.75,32.75,18.1,15.0,17.7,31.75
2013-12-10,31.5,83.5,298.0,5.3,120.0,,60.0,33.5,44.5,32.5,18.0,15.0,17.7,31.5
2013-12-11,31.5,83.0,286.0,5.35,120.0,,60.0,33.25,44.75,32.25,17.9,14.95,17.6,31.5
2013-12-16,31.75,81.5,294.0,5.25,117.0,,60.5,33.25,45.0,32.0,17.8,14.55,17.55,31.75
2013-12-17,31.5,82.0,286.0,5.4,106.0,,60.5,33.0,44.75,33.5,17.6,14.5,17.15,31.5
2013-12-18,31.0,82.0,284.0,5.4,120.0,,60.0,32.25,44.25,32.5,17.65,14.45,17.15,31.0
2013-12-19,31.0,82.0,284.0,5.5,116.0,,59.0,32.25,44.5,33.25,17.7,14.45,17.25,31.0
2013-12-20,30.75,81.5,282.0,5.65,116.0,,58.0,31.5,44.5,32.5,17.75,14.45,17.4,30.75
2013-12-23,31.0,82.0,284.0,5.55,117.0,,57.0,31.0,44.5,32.25,17.7,14.45,17.8,31.0
2013-12-24,31.0,84.0,285.0,5.65,115.0,,58.0,31.0,46.25,32.25,17.65,14.6,17.75,31.0
2013-12-27,31.75,87.0,286.0,5.85,115.0,,58.0,30.75,46.75,32.5,17.75,14.65,17.75,31.75
2013-12-30,31.25,89.0,286.0,5.9,118.0,,59.0,31.25,47.5,33.0,17.7,14.9,17.6,31.25
2013-12-31,31.5,87.0,304.0,5.9,120.0,,60.0,30.75,47.25,33.0,17.75,15.15,17.6,31.5
2014-01-02,31.5,88.0,309.0,5.8,120.0,,61.0,31.0,47.75,33.25,17.6,15.35,17.7,31.5
2014-01-03,32.5,88.5,304.0,5.8,116.0,,60.0,31.75,48.0,33.75,17.55,15.25,17.6,32.5
2014-01-06,32.5,88.0,304.0,5.8,120.0,,60.0,33.0,48.5,34.0,17.5,15.15,17.6,32.5
2014-01-07,33.0,89.0,306.0,5.85,115.0,,60.5,34.75,48.5,34.5,17.7,15.4,17.6,33.0
2014-01-08,34.25,89.5,300.0,5.9,116.0,,60.5,34.25,48.25,35.25,17.95,15.9,17.6,34.25
2014-01-09,33.5,90.0,300.0,5.85,115.0,,60.5,34.0,48.5,35.0,18.1,16.05,17.75,33.5
2014-01-10,33.0,89.5,306.0,5.8,118.0,,60.0,33.25,47.5,35.25,18.1,16.15,17.6,33.0
